epoch,val_loss,dur_loss_step1,acoustic_norm,speaker_sim_mean,speaker_sim_std,ttfb_p50_ms,rtf_mean,n_success,n_total
1,,1.6346975564956665,,,,,,,
2,,1.1483027935028076,,,,,,,
3,,0.9399222731590271,,,,,,,
4,,0.9450469017028809,,,,,,,
5,,1.018746018409729,,,,,,,
6,,0.8920219540596008,,,,,,,
7,,0.8795865774154663,,,,,,,
8,,0.9689483642578125,,,,,,,
9,1.079243540763855,0.8897887468338013,6.8757476806640625,,,,,,
10,0.9694966673851013,0.9197571277618408,6.861782550811768,,,,,,
11,0.8845016360282898,0.9142376780509949,7.316019535064697,,,,,,
12,0.8838002681732178,0.9135645627975464,6.900991916656494,,,,,,
13,0.924344003200531,0.9022867679595947,6.566158294677734,,,,,,
14,0.8621481657028198,0.916282057762146,7.043631076812744,,,,,,
15,0.8182327151298523,0.8869850039482117,6.38073205947876,,,,,,
16,0.7970516681671143,0.8885306119918823,6.807631969451904,,,,,,
17,0.8526596426963806,0.8696552515029907,6.746896266937256,,,,,,
